;;;Training;Test;Time
Brst10a;2;2; 0.999997567  0.999999999  0.004216909;;
;2;2; 0.999997423  0.999999999  0.004227161;;
;2;2; 0.999997276  0.999999999  0.004178047;;
;2;2; 0.999997574  0.999999999  0.004215002;;
;2;2; 0.999997259  0.999999999  0.004162073;;
;3;3; 0.999997567  0.999999999  0.004124880;;
;3;3; 0.999997423  0.999999999  0.004299164;;
;3;3; 0.999997276  0.999999999  0.004177094;;
;3;3; 0.999997574  0.999999999  0.004294872;;
;3;3; 0.999997259  0.999999999  0.004362106;;
Brst10b;2;2; 0.999997546  0.999999999  0.004279137;;
;2;2; 0.999997278  0.999999999  0.004355907;;
;2;2; 0.999997746  0.999999999  0.004121065;;
;2;2; 0.999997353  0.999999999  0.004134893;;
;2;2; 0.999997042  0.999999999  0.004060984;;
;3;3; 0.999997546  0.999999999  0.004089117;;
;3;3; 0.999997278  0.999999999  0.004314899;;
;3;3; 0.999997746  0.999999999  0.004102945;;
;3;3; 0.999997353  0.999999999  0.004194021;;
;3;3; 0.999997042  0.999999999  0.004048109;;
Brst20a;3;3; 0.999861613  0.999999912  0.006131887;;
;3;3; 0.410357859  0.193165507  0.007205009;;
;3;3; 0.996671751  0.999998658  0.015799046;;
;3;3; 0.367195306 -0.184096065  0.007082939;;
;3;3; 0.378675157 -0.123301448  0.006437063;;
;5;5; 0.999861613  0.999999912  0.006246090;;
;5;5; 0.410357859  0.193165507  0.006934881;;
;5;5; 0.996671751  0.999998658  0.007056952;;
;5;5; 0.367195306 -0.184096065  0.006855965;;
;5;5; 0.378675157 -0.123301448  0.006042004;;
Brst20b;3;3; 0.968289189  0.999986916  0.007042170;;
;3;3; 0.410316412  0.452911574  0.009268045;;
;3;3; 0.389979421  0.204311754  0.005275965;;
;3;3; 0.475312547 -0.167331625  0.010199070;;
;3;3; 0.457330602  0.110082918  0.005347013;;
;5;5; 0.968289189  0.999986916  0.007069111;;
;5;5; 0.410316412  0.452911574  0.009310961;;
;5;5; 0.389979421  0.204311754  0.005305052;;
;5;5; 0.475312547 -0.167331625  0.010278940;;
;5;5; 0.457330602  0.110082918  0.005246162;;
